patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,407,78,401,427,430,1,2,2,2
0,1,500,408,408,411,442,452,0,0,0,0
0,2,0,432,86,436,427,426,1,3,3,3
0,2,500,434,450,442,442,443,0,0,0,0
0,3,0,443,105,423,421,420,1,3,3,3
0,3,500,412,452,447,444,444,0,0,0,0
1,3,0,760,99,428,436,426,1,2,2,2
1,3,500,756,459,449,448,447,0,0,0,0
0,4,0,399,125,433,427,420,1,3,3,3
0,4,500,396,453,447,445,443,0,0,0,0
2,4,0,790,146,426,433,427,1,2,2,2
2,4,500,785,450,450,448,448,0,0,0,0
0,5,0,379,143,434,431,430,1,3,3,3
0,5,500,378,749,452,445,445,0,0,0,0
2,5,0,779,146,430,428,435,1,3,3,3
2,5,500,768,451,450,447,450,0,0,0,0
0,6,0,359,163,433,429,422,1,3,3,3
0,6,500,370,450,445,444,445,0,0,0,0
3,6,0,735,184,429,427,428,1,3,3,3
3,6,500,735,449,451,448,415,0,0,0,0
0,7,0,316,160,383,382,383,1,3,3,3
0,7,500,315,404,401,402,401,0,0,0,0
3,7,0,650,162,384,383,386,1,4,4,4
3,7,500,651,406,405,406,405,0,0,0,0
0,8,0,299,178,381,380,380,1,3,3,3
0,8,500,298,404,403,403,403,0,0,0,0
4,8,0,619,197,383,392,384,1,4,4,4
4,8,500,623,418,405,405,405,0,0,0,0
0,9,0,282,194,381,385,383,1,3,3,3
0,9,500,288,402,402,401,402,0,0,0,0
4,9,0,604,197,385,385,385,1,6,6,6
4,9,500,606,406,413,405,406,0,0,0,0
