patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,188,29,159,161,160,1,2,2,2
0,1,500,189,170,169,170,169,0,0,0,0
0,2,0,193,30,161,160,161,1,3,3,3
0,2,500,194,171,171,171,170,0,0,0,0
0,3,0,184,38,160,160,161,1,3,3,3
0,3,500,182,170,170,170,169,0,0,0,0
1,3,0,334,37,163,164,162,1,2,2,2
1,3,500,338,173,173,172,172,0,0,0,0
0,4,0,179,46,161,160,160,1,3,3,3
0,4,500,179,171,171,169,168,0,0,0,0
2,4,0,332,51,161,161,161,1,2,2,2
2,4,500,333,172,171,170,170,0,0,0,0
0,5,0,171,53,159,159,159,1,3,3,3
0,5,500,171,170,169,169,170,0,0,0,0
2,5,0,325,51,161,161,161,1,3,3,3
2,5,500,324,172,171,172,171,0,0,0,0
0,6,0,164,60,160,160,159,1,3,3,3
0,6,500,164,170,169,169,169,0,0,0,0
3,6,0,313,65,161,163,161,1,3,3,3
3,6,500,312,172,172,172,171,0,0,0,0
0,7,0,158,68,160,159,159,1,3,3,3
0,7,500,158,169,169,169,169,0,0,0,0
3,7,0,305,67,162,161,164,1,4,4,4
3,7,500,309,175,171,171,172,0,0,0,0
0,8,0,154,77,160,160,160,1,3,3,3
0,8,500,153,172,170,170,170,0,0,0,0
4,8,0,298,83,162,162,173,1,4,4,4
4,8,500,300,177,185,171,173,0,0,0,0
0,9,0,185,91,159,160,160,1,2,2,2
0,9,500,191,170,169,169,177,0,0,0,0
4,9,0,332,82,163,163,162,1,6,6,6
4,9,500,334,173,173,172,173,0,0,0,0
