patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,200,29,170,170,171,1,2,2,2
0,1,500,201,180,181,180,181,0,0,0,0
0,2,0,203,29,171,171,171,1,3,3,3
0,2,500,204,183,181,181,182,0,0,0,0
0,3,0,197,36,171,171,172,1,3,3,3
0,3,500,194,182,181,181,180,0,0,0,0
1,3,0,360,38,174,174,174,1,2,2,2
1,3,500,360,185,183,184,184,0,0,0,0
0,4,0,187,45,172,171,171,1,3,3,3
0,4,500,182,183,181,181,181,0,0,0,0
2,4,0,353,55,173,173,174,1,2,2,2
2,4,500,354,184,184,184,183,0,0,0,0
0,5,0,178,52,171,172,170,1,3,3,3
0,5,500,174,183,182,181,181,0,0,0,0
2,5,0,348,54,175,173,173,1,3,3,3
2,5,500,346,183,183,182,183,0,0,0,0
0,6,0,166,58,170,171,171,1,3,3,3
0,6,500,168,181,181,180,181,0,0,0,0
3,6,0,328,69,174,173,174,1,3,3,3
3,6,500,329,183,183,182,183,0,0,0,0
0,7,0,158,67,172,171,171,1,3,3,3
0,7,500,159,181,182,180,181,0,0,0,0
3,7,0,318,70,172,173,173,1,4,4,4
3,7,500,322,183,182,183,183,0,0,0,0
0,8,0,152,75,171,171,171,1,3,3,3
0,8,500,153,181,180,180,181,0,0,0,0
4,8,0,306,87,173,173,173,1,4,4,4
4,8,500,305,183,183,184,184,0,0,0,0
0,9,0,198,90,171,171,171,1,2,2,2
0,9,500,199,181,182,181,181,0,0,0,0
4,9,0,352,87,175,174,174,1,6,6,6
4,9,500,353,184,184,185,184,0,0,0,0
