patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,78,43,43,43,43,0,0,0,0
0,1,500,79,60,60,59,59,0,0,0,0
0,2,0,79,43,43,43,43,0,0,0,0
0,2,500,83,59,59,59,59,0,0,0,0
0,3,0,83,43,43,43,43,0,0,0,0
0,3,500,82,60,59,60,59,0,0,0,0
1,3,0,130,44,43,43,44,0,0,0,0
1,3,500,130,60,59,59,59,0,0,0,0
0,4,0,82,43,43,43,43,0,0,0,0
0,4,500,82,59,60,59,59,0,0,0,0
2,4,0,130,43,43,43,43,0,0,0,0
2,4,500,130,59,59,59,59,0,0,0,0
0,5,0,82,43,43,43,44,0,0,0,0
0,5,500,82,59,59,59,59,0,0,0,0
2,5,0,130,44,43,43,43,0,0,0,0
2,5,500,130,59,59,59,60,0,0,0,0
0,6,0,82,43,43,43,43,0,0,0,0
0,6,500,83,60,60,59,59,0,0,0,0
3,6,0,130,44,43,43,43,0,0,0,0
3,6,500,130,60,61,59,59,0,0,0,0
0,7,0,82,44,43,43,43,0,0,0,0
0,7,500,82,60,59,59,59,0,0,0,0
3,7,0,131,43,43,43,44,0,0,0,0
3,7,500,130,60,59,59,59,0,0,0,0
0,8,0,82,43,44,43,44,0,0,0,0
0,8,500,82,59,59,59,59,0,0,0,0
4,8,0,129,43,43,43,43,0,0,0,0
4,8,500,131,60,60,59,59,0,0,0,0
0,9,0,82,43,43,43,43,0,0,0,0
0,9,500,82,59,59,60,59,0,0,0,0
4,9,0,129,43,43,43,43,0,0,0,0
4,9,500,129,60,59,59,60,0,0,0,0
