patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,254,55,262,262,259,1,2,2,2
0,1,500,244,265,266,265,264,0,0,0,0
0,2,0,241,55,254,253,229,1,3,3,3
0,2,500,216,200,200,200,200,0,0,0,0
0,3,0,202,48,191,190,190,1,3,3,3
0,3,500,204,201,200,199,200,0,0,0,0
1,3,0,385,50,191,192,192,1,2,2,2
1,3,500,381,202,204,202,202,0,0,0,0
0,4,0,192,55,190,189,189,1,3,3,3
0,4,500,196,201,200,200,200,0,0,0,0
2,4,0,377,69,193,193,193,1,2,2,2
2,4,500,374,203,205,204,203,0,0,0,0
0,5,0,182,62,191,189,190,1,3,3,3
0,5,500,180,202,200,200,201,0,0,0,0
2,5,0,363,68,191,192,192,1,3,3,3
2,5,500,364,204,203,203,202,0,0,0,0
0,6,0,171,68,191,189,189,1,3,3,3
0,6,500,177,201,200,200,200,0,0,0,0
3,6,0,345,86,192,192,192,1,3,3,3
3,6,500,342,204,203,203,202,0,0,0,0
0,7,0,167,75,196,190,189,1,3,3,3
0,7,500,167,201,200,200,200,0,0,0,0
3,7,0,333,86,192,192,192,1,4,4,4
3,7,500,331,203,202,204,202,0,0,0,0
0,8,0,160,82,190,189,190,1,3,3,3
0,8,500,156,201,201,199,199,0,0,0,0
4,8,0,316,103,191,193,192,1,4,4,4
4,8,500,319,204,202,204,202,0,0,0,0
0,9,0,148,89,189,190,190,1,3,3,3
0,9,500,150,201,201,199,200,0,0,0,0
4,9,0,306,105,199,192,192,1,6,6,6
4,9,500,309,204,202,202,204,0,0,0,0
