patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,2,2,2,2,2,1,1,1,1
0,500,2,6,5,6,5,0,0,0,0
1,0,3965,170,204,207,204,1,1,1,1
1,500,160,172,168,171,169,0,0,0,0
2,0,171,169,189,187,188,1,1,1,1
2,500,146,158,157,151,147,0,0,0,0
3,0,153,145,164,162,162,1,1,1,1
3,500,124,134,133,134,133,0,0,0,0
4,0,152,132,192,191,182,1,2,2,2
4,500,145,154,153,155,153,0,0,0,0
5,0,159,148,172,173,172,1,1,1,1
5,500,136,147,145,149,138,0,0,0,0
6,0,139,147,152,152,152,1,1,1,1
6,500,117,126,125,125,125,0,0,0,0
7,0,155,133,138,137,137,1,1,1,1
7,500,103,113,105,105,105,0,0,0,0
8,0,104,129,140,140,137,1,1,1,1
8,500,104,113,112,111,413,0,0,0,0
9,0,135,122,167,162,126,1,2,2,2
9,500,129,107,105,105,105,0,0,0,0
