patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,1,1,4,1,1,1,1,1
0,500,4,6,4,4,6,0,0,0,0
1,0,14565,252,138,532,194,1,1,1,1
1,500,85,145,134,134,135,0,0,0,0
2,0,85,155,196,194,194,1,1,1,1
2,500,84,137,137,127,123,0,0,0,0
3,0,79,142,179,180,179,1,1,1,1
3,500,77,125,124,124,126,0,0,0,0
4,0,78,141,178,178,179,1,1,1,1
4,500,71,116,115,115,115,0,0,0,0
5,0,72,134,166,165,165,1,1,1,1
5,500,72,117,115,114,114,0,0,0,0
6,0,73,130,164,163,161,1,1,1,1
6,500,66,108,107,107,106,0,0,0,0
7,0,69,123,152,153,152,1,1,1,1
7,500,67,108,107,108,107,0,0,0,0
8,0,69,121,152,153,155,1,1,1,1
8,500,67,101,100,100,101,0,0,0,0
9,0,63,113,144,143,144,1,1,1,1
9,500,62,102,100,100,101,0,0,0,0
