patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,2,1,1,1,1,1,1,1,1
0,500,4,7,8,10,6,0,0,0,0
1,0,14965,316,526,520,517,1,1,1,1
1,500,458,475,473,473,470,0,0,0,0
2,0,524,297,450,447,450,1,1,1,1
2,500,409,429,413,412,413,0,0,0,0
3,0,461,274,381,371,708,1,1,1,1
3,500,338,367,365,344,343,0,0,0,0
4,0,375,239,336,335,336,1,1,1,1
4,500,292,313,314,311,311,0,0,0,0
5,0,333,231,308,292,288,1,1,1,1
5,500,261,283,281,283,282,0,0,0,0
6,0,300,215,258,259,262,1,1,1,1
6,500,233,257,255,253,253,0,0,0,0
7,0,266,195,233,232,234,1,1,1,1
7,500,209,233,232,230,230,0,0,0,0
8,0,257,196,213,214,213,1,1,1,1
8,500,190,210,207,208,208,0,0,0,0
9,0,259,269,274,269,268,1,1,1,1
9,500,248,266,265,266,265,0,0,0,0
