patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,2,2,2,1,1,1,1,1
0,500,6,5,11,4,10,0,0,0,0
1,0,88,54,76,76,76,1,1,1,1
1,500,86,70,69,69,69,0,0,0,0
2,0,85,49,75,75,77,1,1,1,1
2,500,87,70,69,69,69,0,0,0,0
3,0,84,50,75,75,75,1,1,1,1
3,500,81,71,69,69,69,0,0,0,0
4,0,84,50,76,76,75,1,1,1,1
4,500,82,70,69,69,69,0,0,0,0
5,0,83,50,76,76,75,1,1,1,1
5,500,83,70,70,69,69,0,0,0,0
6,0,80,50,75,75,75,1,1,1,1
6,500,83,70,69,70,69,0,0,0,0
7,0,80,51,76,75,75,1,1,1,1
7,500,82,70,69,69,70,0,0,0,0
8,0,86,50,75,75,75,1,1,1,1
8,500,86,69,69,69,69,0,0,0,0
9,0,88,50,76,75,75,1,1,1,1
9,500,86,70,69,69,69,0,0,0,0
