patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1161,45,1543,2003,2005,1,50,68,68
0,1,500,1162,2010,2009,2008,2015,0,0,0,0
0,2,0,1170,66,1340,2053,2053,1,50,84,84
0,2,500,1170,2064,2056,2047,2625,0,0,0,0
0,3,0,1164,69,1358,2061,2063,1,50,80,80
0,3,500,1169,2079,2076,2076,2075,0,0,0,0
1,3,0,2289,41,1416,2041,2055,1,50,74,74
1,3,500,2289,2064,2045,2049,2062,0,0,0,0
0,4,0,1167,38,1464,2064,2054,1,50,78,78
0,4,500,1166,2059,2057,2056,2064,0,0,0,0
2,4,0,2291,82,1462,2053,2041,1,50,66,66
2,4,500,2291,2052,2071,2048,2055,0,0,0,0
0,5,0,1168,54,1368,2074,2074,1,50,80,80
0,5,500,1167,2080,2077,2072,2067,0,0,0,0
2,5,0,2295,32,1065,2049,2064,1,50,91,91
2,5,500,2298,2048,2047,2060,2053,0,0,0,0
0,6,0,1173,61,1529,2102,2103,1,50,72,72
0,6,500,1163,2111,2117,2122,2121,0,0,0,0
3,6,0,2296,33,1242,2041,2036,1,50,77,77
3,6,500,2297,2060,2052,2038,2055,0,0,0,0
0,7,0,1192,75,1350,2089,2090,1,50,84,84
0,7,500,1191,2089,2082,2081,2087,0,0,0,0
3,7,0,2315,32,1606,2052,2046,1,50,93,93
3,7,500,2317,2039,2053,2054,2038,0,0,0,0
0,8,0,1167,58,1478,2113,2124,1,50,74,74
0,8,500,1168,2129,2126,2127,2127,0,0,0,0
4,8,0,2297,33,1250,2030,2045,1,50,76,76
4,8,500,2292,2055,2037,2043,2052,0,0,0,0
0,9,0,1167,161,1434,2121,2115,1,50,76,76
0,9,500,1165,2119,2117,2116,2122,0,0,0,0
4,9,0,2289,33,934,1945,2035,1,50,100,104
4,9,500,2291,2040,2053,2046,2035,0,0,0,0
