patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,920,61,1310,1578,1576,1,50,58,58
0,1,500,925,1579,1576,1576,1576,0,0,0,0
0,2,0,919,89,1148,1593,1598,1,50,68,68
0,2,500,928,1609,1622,1608,1614,0,0,0,0
0,3,0,921,60,1408,1625,1621,1,50,56,56
0,3,500,924,1626,1627,1625,1624,0,0,0,0
1,3,0,1801,86,1316,1629,1626,1,50,59,59
1,3,500,1797,1619,1624,1633,1631,0,0,0,0
0,4,0,922,78,1177,1619,1620,1,50,66,66
0,4,500,923,1627,1623,1626,1628,0,0,0,0
2,4,0,1804,39,1203,1626,1618,1,50,62,62
2,4,500,1802,1618,1628,1630,1624,0,0,0,0
0,5,0,920,57,1260,1635,1637,1,50,64,64
0,5,500,920,2202,1646,1652,1651,0,0,0,0
2,5,0,1806,39,935,1624,1612,1,50,84,84
2,5,500,1802,1621,1632,1631,1617,0,0,0,0
0,6,0,936,62,1196,1633,1635,1,50,64,64
0,6,500,934,2562,4234,3688,3377,0,0,0,0
3,6,0,3323,69,1996,2682,2537,1,50,67,67
3,6,500,2658,2322,2229,2008,1631,0,0,0,0
0,7,0,891,67,1366,1653,1658,1,50,56,56
0,7,500,891,1665,1669,1662,1668,0,0,0,0
3,7,0,1779,39,983,1622,1621,1,50,77,77
3,7,500,1779,1648,1643,1630,1626,0,0,0,0
0,8,0,849,82,1394,1680,1680,1,50,62,62
0,8,500,852,1685,1685,1684,1684,0,0,0,0
4,8,0,1743,53,1319,1618,1630,1,50,64,64
4,8,500,1742,1644,1641,1623,1629,0,0,0,0
0,9,0,850,35,1216,1662,1663,1,50,66,66
0,9,500,851,1677,1675,1663,1677,0,0,0,0
4,9,0,1741,45,965,1624,1635,1,50,82,82
4,9,500,1764,1640,1624,1622,1639,0,0,0,0
