patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,976,58,1131,1673,1671,1,50,68,68
0,1,500,978,1680,1677,1696,1688,0,0,0,0
0,2,0,960,69,1276,1718,1718,1,50,64,64
0,2,500,960,1725,1725,1717,1717,0,0,0,0
0,3,0,979,84,1443,1706,1705,1,50,58,58
0,3,500,977,1713,1716,1722,1720,0,0,0,0
1,3,0,1919,32,1396,1709,1699,1,50,62,62
1,3,500,1916,1718,1718,1713,1704,0,0,0,0
0,4,0,983,89,1256,1724,1725,1,50,68,68
0,4,500,983,1734,1734,1729,1729,0,0,0,0
2,4,0,1908,44,1631,1696,1712,1,50,54,54
2,4,500,1906,1727,1724,1704,1727,0,0,0,0
0,5,0,986,71,1181,1735,1735,1,50,68,68
0,5,500,990,1739,2569,1734,1734,0,0,0,0
2,5,0,1901,42,1263,1713,1712,1,50,74,74
2,5,500,1909,1712,1704,1719,1716,0,0,0,0
0,6,0,986,93,1300,1731,1731,1,50,64,64
0,6,500,983,1739,1735,1737,1744,0,0,0,0
3,6,0,1930,67,1459,1709,1697,1,50,59,59
3,6,500,1919,1706,1715,1712,1700,0,0,0,0
0,7,0,986,58,1400,1735,1737,1,50,60,60
0,7,500,987,1751,1747,1747,1748,0,0,0,0
3,7,0,1927,67,1030,1698,1694,1,50,78,78
3,7,500,1924,1717,3480,4170,3713,0,0,0,0
0,8,0,1158,127,2608,3193,2986,1,50,68,68
0,8,500,1538,2723,2584,2461,2352,0,0,0,0
4,8,0,2081,50,1247,1694,1708,1,50,67,67
4,8,500,1935,1709,1692,1694,1707,0,0,0,0
0,9,0,982,40,1247,1739,1737,1,50,66,66
0,9,500,981,1739,1736,1736,1735,0,0,0,0
4,9,0,1922,38,938,1700,1697,1,50,89,89
4,9,500,1926,1696,1692,1710,1705,0,0,0,0
