patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1239,69,1256,2065,2064,1,50,82,82
0,1,500,1242,2071,2069,2072,2079,0,0,0,0
0,2,0,1211,68,1201,2110,2112,1,50,86,86
0,2,500,1218,2118,2117,2107,2107,0,0,0,0
0,3,0,1244,50,1320,2105,2113,1,50,76,76
0,3,500,1246,2121,2121,4185,2119,0,0,0,0
1,3,0,2451,37,1378,2095,2112,1,50,79,79
1,3,500,2444,2116,2100,2109,2113,0,0,0,0
0,4,0,1249,73,1431,2114,2112,1,50,80,80
0,4,500,1242,2122,2119,2119,2130,0,0,0,0
2,4,0,2421,45,1542,2103,2090,1,50,69,69
2,4,500,2415,2111,2111,2096,2105,0,0,0,0
0,5,0,1247,78,1394,2135,2134,1,50,80,80
0,5,500,1252,5104,4819,4246,3854,0,0,0,0
2,5,0,3933,69,1876,3134,2953,1,50,93,93
2,5,500,2956,2122,2140,2132,2121,0,0,0,0
0,6,0,1223,64,1360,2155,2160,1,50,74,74
0,6,500,1218,2179,2171,2164,2169,0,0,0,0
3,6,0,2443,44,1410,2115,2121,1,50,76,76
3,6,500,2442,2136,2115,2118,2133,0,0,0,0
0,7,0,1230,56,1177,2161,2159,1,50,86,86
0,7,500,1227,2165,2156,2185,2235,0,0,0,0
3,7,0,2447,44,1279,2120,2128,1,50,90,90
3,7,500,2455,2145,2137,2129,2133,0,0,0,0
0,8,0,1218,32,1631,2170,2172,1,50,70,70
0,8,500,1218,2174,2175,2161,2171,0,0,0,0
4,8,0,2438,51,1594,2122,2125,1,50,70,70
4,8,500,2438,2106,2123,2128,2109,0,0,0,0
0,9,0,1222,81,1340,2156,2164,1,50,84,84
0,9,500,1218,2179,2176,2175,2167,0,0,0,0
4,9,0,2442,28,1082,2102,2120,1,50,99,99
4,9,500,2443,2128,2108,2114,2129,0,0,0,0
