patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1043,64,1041,1766,1758,1,50,80,80
0,1,500,1041,1761,1759,1760,1758,0,0,0,0
0,2,0,1006,51,1135,1815,1813,1,50,72,72
0,2,500,1001,1823,1818,1819,1812,0,0,0,0
0,3,0,1042,43,1194,1783,1783,1,50,72,72
0,3,500,1042,1789,1789,1804,1802,0,0,0,0
1,3,0,2053,48,1430,1784,1775,1,50,62,62
1,3,500,2046,1795,1795,1792,1778,0,0,0,0
0,4,0,1038,43,1276,1802,1800,1,50,64,64
0,4,500,1041,1810,1806,1807,1806,0,0,0,0
2,4,0,2022,48,1776,1773,1791,1,49,49,49
2,4,500,2013,1795,1781,1783,1794,0,0,0,0
0,5,0,1042,72,1450,1810,1808,1,50,60,60
0,5,500,1042,1804,1803,1802,1802,0,0,0,0
2,5,0,2011,38,1224,1791,1790,1,50,71,71
2,5,500,2012,2337,1781,1795,1790,0,0,0,0
0,6,0,1042,68,1122,1806,1805,1,50,74,74
0,6,500,1061,1811,1825,1825,1824,0,0,0,0
3,6,0,2046,39,1392,1777,1768,1,50,62,62
3,6,500,2043,1788,1790,1779,1772,0,0,0,0
0,7,0,1023,63,1184,1823,1821,1,50,75,75
0,7,500,1027,1831,1827,1827,1819,0,0,0,0
3,7,0,2027,38,1099,1769,1788,1,50,78,78
3,7,500,2036,1792,1775,1778,1792,0,0,0,0
0,8,0,1049,35,1167,1822,1815,1,50,72,72
0,8,500,1048,1817,1814,1815,1813,0,0,0,0
4,8,0,2047,38,1429,1783,1776,1,50,65,65
4,8,500,2054,1771,1784,1786,1776,0,0,0,0
0,9,0,1047,55,1187,3983,4332,1,50,72,72
0,9,500,2203,3675,3372,3139,2933,0,0,0,0
4,9,0,3044,45,1491,2465,2322,1,50,89,89
4,9,500,2042,1827,1806,1791,1789,0,0,0,0
