patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1034,87,1367,1784,1783,1,50,68,68
0,1,500,1036,1792,1788,1790,1789,0,0,0,0
0,2,0,1037,59,1249,1803,1802,1,50,74,74
0,2,500,1037,1808,1805,1811,1807,0,0,0,0
0,3,0,1038,75,1225,1818,1816,1,50,76,76
0,3,500,1038,1824,1823,1823,1822,0,0,0,0
1,3,0,2037,51,1312,1810,1822,1,50,67,67
1,3,500,2063,1826,1825,1819,1825,0,0,0,0
0,4,0,1040,44,1253,1827,1826,1,50,76,76
0,4,500,1038,1831,1828,1829,2380,0,0,0,0
2,4,0,2039,51,1521,1824,1809,1,50,58,58
2,4,500,2039,1817,1825,1821,1812,0,0,0,0
0,5,0,1038,47,1294,1833,1837,1,50,72,72
0,5,500,1038,1843,1841,1839,1840,0,0,0,0
2,5,0,2043,36,1090,1808,1813,1,50,80,80
2,5,500,2045,1826,1817,1811,1823,0,0,0,0
0,6,0,1040,81,1536,1839,1839,1,50,64,64
0,6,500,1038,1848,1845,1844,1843,0,0,0,0
3,6,0,2041,35,1294,1815,1814,1,50,67,67
3,6,500,2044,1816,1809,1823,1820,0,0,0,0
0,7,0,1065,63,1324,1843,1842,1,50,74,74
0,7,500,1063,1849,1853,1851,1851,0,0,0,0
3,7,0,2068,36,1171,1814,1804,1,50,77,77
3,7,500,2068,1818,1827,1814,1810,0,0,0,0
0,8,0,1037,85,1320,1848,1844,1,50,70,70
0,8,500,1037,1854,1851,1851,1850,0,0,0,0
4,8,0,2044,36,1471,1801,1815,1,50,65,65
4,8,500,2045,1817,1805,1812,1818,0,0,0,0
0,9,0,1038,32,1321,1848,1846,1,50,70,70
0,9,500,1035,1850,1850,1850,1850,0,0,0,0
4,9,0,2045,31,979,1816,1811,1,50,96,96
4,9,500,2042,1807,1815,1820,1813,0,0,0,0
