patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1223,84,1098,2143,2139,1,50,92,92
0,1,500,1227,2146,2145,2144,2141,0,0,0,0
0,2,0,1231,46,1144,2152,2152,1,50,96,96
0,2,500,1230,2160,2174,2173,2172,0,0,0,0
0,3,0,1230,85,1300,2180,2170,1,50,80,80
0,3,500,1229,2174,2175,2186,2176,0,0,0,0
1,3,0,3555,43,1253,2186,2166,1,50,86,86
1,3,500,2417,2180,2187,2174,2174,0,0,0,0
0,4,0,1232,39,1245,2195,2188,1,50,88,88
0,4,500,1232,2196,2188,2180,2182,0,0,0,0
2,4,0,2422,95,1477,2181,2173,1,50,74,74
2,4,500,2423,2165,2184,2181,2165,0,0,0,0
0,5,0,1231,67,1307,2230,2234,1,50,88,88
0,5,500,1237,2239,2240,2241,2228,0,0,0,0
2,5,0,2426,32,1162,2168,2180,1,50,94,94
2,5,500,2429,2183,2168,2185,2177,0,0,0,0
0,6,0,1236,72,1132,2193,2194,1,50,96,96
0,6,500,1242,2210,2209,2210,2210,0,0,0,0
3,6,0,2429,34,1627,2160,2178,1,50,68,68
3,6,500,2669,2401,2388,2402,2403,0,0,0,0
0,7,0,1230,81,1228,2199,2199,1,50,90,90
0,7,500,1234,2203,2209,2214,2214,0,0,0,0
3,7,0,2426,34,1298,2161,2164,1,50,88,88
3,7,500,2429,2419,2170,2166,2180,0,0,0,0
0,8,0,1238,77,1236,2213,2203,1,50,92,92
0,8,500,1236,2207,2204,2209,2217,0,0,0,0
4,8,0,2430,34,1385,2167,2152,1,50,79,79
4,8,500,2423,2197,2175,2168,2167,0,0,0,0
0,9,0,1231,48,1228,2213,2215,1,50,88,88
0,9,500,1229,2215,2208,2207,2207,0,0,0,0
4,9,0,2422,32,1149,2058,2164,1,50,100,103
4,9,500,2421,2155,2174,2169,2157,0,0,0,0
