patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,896,43,1131,1581,2955,1,50,72,72
0,1,500,899,1588,1596,1594,1593,0,0,0,0
0,2,0,908,56,1220,1601,1599,1,50,60,60
0,2,500,907,1606,1599,1598,1598,0,0,0,0
0,3,0,908,67,1088,1610,1619,1,50,74,74
0,3,500,911,1646,1626,1625,1622,0,0,0,0
1,3,0,1778,29,1189,1598,1607,1,50,68,68
1,3,500,1778,1619,1612,1604,1610,0,0,0,0
0,4,0,910,64,1239,1636,1636,1,50,66,66
0,4,500,911,1645,1640,1639,1637,0,0,0,0
2,4,0,1774,50,1448,1604,1610,1,50,54,54
2,4,500,1776,1612,1604,1609,1616,0,0,0,0
0,5,0,907,65,1256,2466,1633,1,50,64,64
0,5,500,902,1632,1631,1631,1631,0,0,0,0
2,5,0,1770,51,1092,1610,1608,1,50,71,71
2,5,500,1793,1606,1610,1618,1615,0,0,0,0
0,6,0,906,61,1225,1633,1631,1,50,64,64
0,6,500,902,1639,1636,1636,1640,0,0,0,0
3,6,0,1774,72,1400,1606,1597,1,50,57,57
3,6,500,1770,1606,1613,1610,1602,0,0,0,0
0,7,0,905,43,1360,1627,1627,1,50,58,58
0,7,500,905,1633,1639,1640,1637,0,0,0,0
3,7,0,1780,37,1094,1601,1593,1,50,67,67
3,7,500,1778,1604,1612,1608,1598,0,0,0,0
0,8,0,2909,49,1282,1643,1648,1,50,62,62
0,8,500,905,1658,1655,1654,1653,0,0,0,0
4,8,0,1771,37,1527,1590,1594,1,50,54,54
4,8,500,1771,1610,1608,1597,1599,0,0,0,0
0,9,0,901,40,1242,1667,1666,1,50,64,64
0,9,500,899,1674,1671,1671,1668,0,0,0,0
4,9,0,1766,35,1005,1589,1603,1,50,78,78
4,9,500,1769,1610,1599,1595,1606,0,0,0,0
