patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,5,18,16,14,1,50,65,65
0,500,5,13,18,15,17,0,0,0,0
1,0,4943,124,17240,4293,3919,1,50,69,69
1,500,2007,1911,1825,1765,1719,0,0,0,0
2,0,1695,102,1969,2328,2325,1,50,65,65
2,500,1306,1257,1257,1257,1257,0,0,0,0
3,0,1303,93,2220,3007,2317,1,50,57,57
3,500,1306,1260,1259,1258,1259,0,0,0,0
4,0,1361,138,2255,2370,2368,1,50,56,56
4,500,1351,1309,1328,1305,1305,0,0,0,0
5,0,1306,93,2163,2321,2320,1,50,57,57
5,500,1309,1263,1261,1259,1260,0,0,0,0
6,0,3046,93,2169,2322,2322,1,50,57,57
6,500,1306,1263,1261,1263,1261,0,0,0,0
7,0,1312,92,2251,2315,2313,1,50,56,56
7,500,1308,1262,1261,1260,1261,0,0,0,0
8,0,1308,93,2228,2315,2312,1,50,55,55
8,500,1409,1268,1262,1261,1261,0,0,0,0
9,0,1345,131,2158,2337,2337,1,50,57,57
9,500,1346,1298,1297,1298,1298,0,0,0,0
