patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,3,23,17,18,1,50,53,53
0,500,5,13,17,15,15,0,0,0,0
1,0,7022,305,12524,3986,3540,1,50,53,53
1,500,1707,1616,1540,1507,1441,0,0,0,0
2,0,1361,104,2580,2453,2346,1,44,44,44
2,500,1154,1111,1094,933,820,0,0,0,0
3,0,903,103,1679,1680,1679,1,39,39,39
3,500,903,862,860,860,859,0,0,0,0
4,0,903,102,1681,1679,1679,1,40,40,40
4,500,903,862,861,860,860,0,0,0,0
5,0,904,103,1681,1680,1680,1,39,39,39
5,500,904,862,861,873,860,0,0,0,0
6,0,902,103,1691,2515,1679,1,39,39,39
6,500,900,863,861,862,861,0,0,0,0
7,0,905,102,1677,1677,1676,1,39,39,39
7,500,905,863,861,861,861,0,0,0,0
8,0,903,102,3746,1684,1675,1,39,39,39
8,500,904,862,860,860,860,0,0,0,0
9,0,900,102,1677,1676,1677,1,43,43,43
9,500,904,862,860,914,861,0,0,0,0
