patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,3,16,18,15,1,50,53,53
0,500,5,12,20,14,14,0,0,0,0
1,0,7641,159,11203,2923,2725,1,50,53,53
1,500,1401,1347,1317,1274,1260,0,0,0,0
2,0,1226,95,2201,1943,1609,1,44,44,44
2,500,900,1151,864,864,864,0,0,0,0
3,0,905,68,1579,1612,1610,1,50,50,50
3,500,911,867,866,866,865,0,0,0,0
4,0,907,68,1611,1609,1612,1,46,46,46
4,500,904,866,866,866,867,0,0,0,0
5,0,902,68,1609,1608,1608,1,45,45,45
5,500,900,868,866,866,866,0,0,0,0
6,0,901,67,1608,1608,1610,1,45,45,45
6,500,984,956,956,956,956,0,0,0,0
7,0,903,68,1610,1610,1610,1,42,42,42
7,500,907,867,866,866,866,0,0,0,0
8,0,901,67,1608,1606,1607,1,44,44,44
8,500,902,867,866,866,866,0,0,0,0
9,0,902,68,1604,1604,1604,1,45,45,45
9,500,902,865,865,865,865,0,0,0,0
