patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,2,21,21,16,1,50,59,59
0,500,5,15,23,17,14,0,0,0,0
1,0,13980,175,17378,4500,3999,1,50,59,59
1,500,2025,1908,1833,1771,1696,0,0,0,0
2,0,1668,116,2648,2731,2600,1,50,54,54
2,500,1121,1074,1073,1074,1073,0,0,0,0
3,0,1105,64,1808,1912,1912,1,50,52,52
3,500,1102,1061,1061,1061,1061,0,0,0,0
4,0,1112,74,1919,1921,1919,1,44,44,44
4,500,1110,1074,1073,1074,1074,0,0,0,0
5,0,1104,319,1129,1129,1130,1,27,27,27
5,500,1102,1064,1062,1062,1062,0,0,0,0
6,0,1104,63,1847,1912,1912,1,50,51,51
6,500,1104,1063,1062,1062,1065,0,0,0,0
7,0,1105,63,1848,1914,1913,1,50,51,51
7,500,1105,1064,1062,1063,1062,0,0,0,0
8,0,1103,63,1859,1912,1919,1,50,51,51
8,500,1114,1063,1063,1062,1061,0,0,0,0
9,0,1096,63,1909,1911,1916,1,43,43,43
9,500,1094,1062,1061,1060,1061,0,0,0,0
