patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,2,21,21,15,1,50,56,56
0,500,5,12,20,15,10,0,0,0,0
1,0,4177,115,26766,4157,3699,1,50,56,56
1,500,1922,1818,1750,1661,1613,0,0,0,0
2,0,1604,121,2681,2546,2439,1,48,48,48
2,500,1336,1083,990,990,990,0,0,0,0
3,0,1031,77,1755,1770,1770,1,50,50,50
3,500,1036,989,988,988,987,0,0,0,0
4,0,1031,76,1766,1762,1764,1,49,49,49
4,500,1031,989,989,988,989,0,0,0,0
5,0,1033,980,1021,1022,1021,1,1,1,1
5,500,1033,991,988,989,989,0,0,0,0
6,0,1034,80,1770,1775,1770,1,48,48,48
6,500,1035,994,993,993,993,0,0,0,0
7,0,1031,75,1764,1762,1762,1,45,45,45
7,500,1028,990,989,989,989,0,0,0,0
8,0,1029,76,1767,1765,1764,1,49,49,49
8,500,1028,989,988,988,988,0,0,0,0
9,0,1029,76,1764,1760,1760,1,49,49,49
9,500,1028,989,986,987,987,0,0,0,0
