patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,452,44,452,450,450,1,6,6,6
0,1,500,452,467,468,466,467,0,0,0,0
0,2,0,450,66,455,454,454,1,6,6,6
0,2,500,452,466,466,467,467,0,0,0,0
0,3,0,451,90,456,457,456,1,6,6,6
0,3,500,454,466,466,465,465,0,0,0,0
1,3,0,865,65,464,465,468,1,6,6,6
1,3,500,872,477,474,475,766,0,0,0,0
0,4,0,454,114,458,457,457,1,6,6,6
0,4,500,452,473,470,471,472,0,0,0,0
2,4,0,871,114,467,467,466,1,6,6,6
2,4,500,870,476,474,474,476,0,0,0,0
0,5,0,455,137,461,461,460,1,6,6,6
0,5,500,455,471,471,471,470,0,0,0,0
2,5,0,866,111,463,462,461,1,9,9,9
2,5,500,872,471,470,469,469,0,0,0,0
0,6,0,455,157,462,463,462,1,6,6,6
0,6,500,453,471,471,472,472,0,0,0,0
3,6,0,872,159,462,461,464,1,9,9,9
3,6,500,872,477,474,476,475,0,0,0,0
0,7,0,458,182,468,465,465,1,6,6,6
0,7,500,456,480,480,479,480,0,0,0,0
3,7,0,874,163,467,465,465,1,12,12,12
3,7,500,878,476,474,475,475,0,0,0,0
0,8,0,457,204,471,467,469,1,6,6,6
0,8,500,457,482,487,479,475,0,0,0,0
4,8,0,867,207,459,459,459,1,12,12,12
4,8,500,870,469,471,470,471,0,0,0,0
0,9,0,452,225,468,468,467,1,6,6,6
0,9,500,457,479,478,480,478,0,0,0,0
4,9,0,869,206,462,462,462,1,18,18,18
4,9,500,871,474,476,476,476,0,0,0,0
