patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,303,37,299,299,298,1,4,4,4
0,1,500,328,338,339,339,339,0,0,0,0
0,2,0,304,52,301,299,299,1,4,4,4
0,2,500,307,308,308,309,309,0,0,0,0
0,3,0,308,66,301,301,301,1,4,4,4
0,3,500,333,343,341,342,342,0,0,0,0
1,3,0,581,55,305,304,304,1,4,4,4
1,3,500,583,313,311,312,312,0,0,0,0
0,4,0,311,82,307,309,310,1,4,4,4
0,4,500,334,351,348,349,347,0,0,0,0
2,4,0,590,91,311,312,309,1,4,4,4
2,4,500,588,318,325,317,316,0,0,0,0
0,5,0,335,110,341,341,339,1,4,4,4
0,5,500,310,318,317,317,316,0,0,0,0
2,5,0,590,91,311,310,308,1,6,6,6
2,5,500,592,320,318,318,319,0,0,0,0
0,6,0,334,129,344,341,342,1,4,4,4
0,6,500,334,354,355,353,353,0,0,0,0
3,6,0,594,123,309,306,303,1,6,6,6
3,6,500,587,313,312,312,311,0,0,0,0
0,7,0,332,143,340,340,340,1,4,4,4
0,7,500,307,317,315,315,316,0,0,0,0
3,7,0,583,116,304,303,303,1,8,8,8
3,7,500,584,311,311,312,311,0,0,0,0
0,8,0,332,156,339,340,339,1,4,4,4
0,8,500,306,318,316,316,315,0,0,0,0
4,8,0,597,146,304,304,304,1,8,8,8
4,8,500,588,318,319,317,317,0,0,0,0
0,9,0,312,159,314,314,313,1,4,4,4
0,9,500,335,357,355,356,355,0,0,0,0
4,9,0,645,168,342,340,341,1,12,12,12
4,9,500,588,320,317,318,317,0,0,0,0
