patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,295,39,287,287,287,1,4,4,4
0,1,500,297,295,295,295,294,0,0,0,0
0,2,0,298,51,287,288,287,1,4,4,4
0,2,500,297,296,299,301,300,0,0,0,0
0,3,0,301,68,294,292,292,1,4,4,4
0,3,500,301,304,303,300,300,0,0,0,0
1,3,0,568,60,301,299,298,1,4,4,4
1,3,500,566,308,307,306,306,0,0,0,0
0,4,0,300,82,296,296,294,1,4,4,4
0,4,500,301,305,302,303,302,0,0,0,0
2,4,0,567,87,300,299,298,1,4,4,4
2,4,500,566,308,305,306,305,0,0,0,0
0,5,0,303,98,297,296,296,1,4,4,4
0,5,500,302,307,304,304,304,0,0,0,0
2,5,0,570,87,299,296,294,1,6,6,6
2,5,500,563,303,301,301,300,0,0,0,0
0,6,0,300,110,295,293,293,1,4,4,4
0,6,500,300,302,301,301,302,0,0,0,0
3,6,0,564,108,295,293,294,1,6,6,6
3,6,500,565,304,304,303,591,0,0,0,0
0,7,0,302,126,295,294,295,1,4,4,4
0,7,500,300,305,304,304,310,0,0,0,0
3,7,0,562,108,295,294,294,1,8,8,8
3,7,500,566,307,307,306,305,0,0,0,0
0,8,0,301,142,301,300,299,1,4,4,4
0,8,500,304,311,309,308,307,0,0,0,0
4,8,0,571,144,300,298,297,1,8,8,8
4,8,500,575,308,305,305,305,0,0,0,0
0,9,0,301,155,314,300,300,1,4,4,4
0,9,500,305,312,311,309,309,0,0,0,0
4,9,0,570,144,300,298,298,1,12,12,12
4,9,500,569,307,306,305,305,0,0,0,0
