patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,295,36,283,283,282,1,4,4,4
0,1,500,299,293,292,291,292,0,0,0,0
0,2,0,300,50,282,283,283,1,4,4,4
0,2,500,298,294,293,292,292,0,0,0,0
0,3,0,293,63,284,284,284,1,4,4,4
0,3,500,299,296,294,295,295,0,0,0,0
1,3,0,560,49,288,288,287,1,4,4,4
1,3,500,563,302,301,301,299,0,0,0,0
0,4,0,301,81,292,288,289,1,4,4,4
0,4,500,302,300,299,297,296,0,0,0,0
2,4,0,563,83,294,292,290,1,4,4,4
2,4,500,560,303,299,298,299,0,0,0,0
0,5,0,300,92,291,288,289,1,4,4,4
0,5,500,302,301,299,300,298,0,0,0,0
2,5,0,564,84,291,292,289,1,6,6,6
2,5,500,559,303,300,298,299,0,0,0,0
0,6,0,301,106,290,290,291,1,4,4,4
0,6,500,300,302,300,299,300,0,0,0,0
3,6,0,559,109,288,287,289,1,6,6,6
3,6,500,563,300,297,297,298,0,0,0,0
0,7,0,300,119,291,291,291,1,4,4,4
0,7,500,301,301,301,301,301,0,0,0,0
3,7,0,566,108,290,289,289,1,8,8,8
3,7,500,561,298,298,297,297,0,0,0,0
0,8,0,298,132,292,292,291,1,4,4,4
0,8,500,300,303,303,305,304,0,0,0,0
4,8,0,571,142,292,291,288,1,8,8,8
4,8,500,563,302,299,299,298,0,0,0,0
0,9,0,302,147,296,294,295,1,4,4,4
0,9,500,303,308,305,304,305,0,0,0,0
4,9,0,567,142,291,291,290,1,12,12,12
4,9,500,563,301,299,299,299,0,0,0,0
