patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,320,32,310,308,308,1,4,4,4
0,1,500,322,319,318,318,317,0,0,0,0
0,2,0,324,49,313,311,312,1,4,4,4
0,2,500,321,319,318,316,317,0,0,0,0
0,3,0,324,63,312,312,310,1,4,4,4
0,3,500,320,322,321,319,319,0,0,0,0
1,3,0,605,46,317,316,314,1,4,4,4
1,3,500,606,324,323,322,322,0,0,0,0
0,4,0,322,77,312,311,312,1,4,4,4
0,4,500,320,320,319,318,319,0,0,0,0
2,4,0,608,78,316,315,315,1,4,4,4
2,4,500,1010,323,321,321,322,0,0,0,0
0,5,0,324,94,315,315,314,1,4,4,4
0,5,500,320,323,321,322,321,0,0,0,0
2,5,0,606,78,315,314,314,1,6,6,6
2,5,500,609,327,326,323,323,0,0,0,0
0,6,0,321,109,316,314,314,1,4,4,4
0,6,500,322,328,326,326,326,0,0,0,0
3,6,0,608,112,317,315,314,1,6,6,6
3,6,500,611,324,324,323,324,0,0,0,0
0,7,0,321,126,318,315,316,1,4,4,4
0,7,500,322,328,328,327,326,0,0,0,0
3,7,0,611,112,318,314,315,1,8,8,8
3,7,500,613,326,324,324,324,0,0,0,0
0,8,0,323,139,316,317,317,1,4,4,4
0,8,500,325,326,325,324,325,0,0,0,0
4,8,0,609,141,314,313,313,1,8,8,8
4,8,500,613,322,320,321,320,0,0,0,0
0,9,0,322,153,317,318,318,1,4,4,4
0,9,500,325,327,326,326,325,0,0,0,0
4,9,0,607,141,312,320,312,1,12,12,12
4,9,500,611,345,322,321,323,0,0,0,0
