patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,2,6,3,3,1,7,7,7
0,500,7,5,5,5,3,0,0,0,0
1,0,3978,527,670,668,666,1,7,7,7
1,500,519,495,493,493,496,0,0,0,0
2,0,524,245,675,669,670,1,7,7,7
2,500,528,501,499,500,500,0,0,0,0
3,0,539,248,695,691,691,1,7,7,7
3,500,537,509,509,508,508,0,0,0,0
4,0,539,247,686,684,684,1,7,7,7
4,500,531,507,505,504,506,0,0,0,0
5,0,540,248,688,685,685,1,7,7,7
5,500,535,509,504,505,504,0,0,0,0
6,0,536,250,695,688,687,1,7,7,7
6,500,536,509,505,506,505,0,0,0,0
7,0,536,251,691,688,688,1,7,7,7
7,500,535,506,507,506,507,0,0,0,0
8,0,540,248,690,688,688,1,7,7,7
8,500,532,511,512,512,512,0,0,0,0
9,0,537,249,690,688,689,1,7,7,7
9,500,530,512,513,511,511,0,0,0,0
