patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,2,4,3,5,6,1,5,5,5
0,500,4,3,3,5,5,0,0,0,0
1,0,353,169,403,400,401,1,5,5,5
1,500,318,284,285,284,285,0,0,0,0
2,0,342,168,402,401,401,1,5,5,5
2,500,306,286,286,284,284,0,0,0,0
3,0,314,153,364,364,364,1,5,5,5
3,500,336,315,315,315,314,0,0,0,0
4,0,312,157,375,373,372,1,5,5,5
4,500,314,289,290,287,289,0,0,0,0
5,0,321,157,376,374,373,1,5,5,5
5,500,321,291,288,290,288,0,0,0,0
6,0,331,157,377,381,373,1,5,5,5
6,500,325,290,287,295,288,0,0,0,0
7,0,318,164,376,379,372,1,5,5,5
7,500,341,326,318,324,323,0,0,0,0
8,0,318,164,376,380,373,1,5,5,5
8,500,321,292,288,295,288,0,0,0,0
9,0,318,164,376,385,374,1,5,5,5
9,500,338,326,318,328,318,0,0,0,0
