patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,2,5,11,7,1,5,5,5
0,500,2,5,3,3,3,0,0,0,0
1,0,604,200,547,545,545,1,5,5,5
1,500,498,488,486,486,487,0,0,0,0
2,0,495,198,545,546,546,1,5,5,5
2,500,497,491,488,490,490,0,0,0,0
3,0,500,200,548,548,549,1,5,5,5
3,500,501,492,489,489,490,0,0,0,0
4,0,501,200,541,540,541,1,5,5,5
4,500,496,485,483,483,484,0,0,0,0
5,0,495,196,538,538,538,1,5,5,5
5,500,495,486,485,485,484,0,0,0,0
6,0,496,198,540,539,538,1,5,5,5
6,500,493,486,485,485,485,0,0,0,0
7,0,500,196,541,539,539,1,5,5,5
7,500,500,485,484,483,483,0,0,0,0
8,0,536,218,550,540,539,1,5,5,5
8,500,501,486,485,486,486,0,0,0,0
9,0,500,197,540,539,539,1,5,5,5
9,500,502,487,485,486,485,0,0,0,0
