patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,3,4,5,3,6,1,8,8,8
0,500,5,3,3,8,7,0,0,0,0
1,0,336,155,399,399,397,1,8,8,8
1,500,310,286,287,288,287,0,0,0,0
2,0,309,156,396,397,396,1,8,8,8
2,500,330,317,315,317,315,0,0,0,0
3,0,306,156,396,398,397,1,8,8,8
3,500,306,288,288,289,288,0,0,0,0
4,0,310,157,398,399,398,1,8,8,8
4,500,330,318,316,317,317,0,0,0,0
5,0,309,157,399,398,398,1,8,8,8
5,500,311,289,288,290,289,0,0,0,0
6,0,310,157,399,400,399,1,8,8,8
6,500,332,321,319,319,319,0,0,0,0
7,0,308,157,400,401,399,1,8,8,8
7,500,315,288,287,288,288,0,0,0,0
8,0,310,158,400,399,400,1,8,8,8
8,500,334,321,320,320,319,0,0,0,0
9,0,310,157,400,401,400,1,8,8,8
9,500,310,289,289,291,290,0,0,0,0
