patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,3,6,4,4,1,8,8,8
0,500,5,4,6,6,6,0,0,0,0
1,0,358,196,455,454,453,1,8,8,8
1,500,341,4841,320,323,321,0,0,0,0
2,0,341,182,451,452,452,1,8,8,8
2,500,317,291,292,290,291,0,0,0,0
3,0,320,166,412,408,410,1,8,8,8
3,500,319,295,294,293,293,0,0,0,0
4,0,324,168,421,416,418,1,8,8,8
4,500,321,294,293,292,293,0,0,0,0
5,0,322,169,417,413,414,1,8,8,8
5,500,322,296,296,293,295,0,0,0,0
6,0,996,458,1130,1114,1050,1,8,8,8
6,500,718,729,689,678,672,0,0,0,0
7,0,658,361,886,881,836,1,8,8,8
7,500,579,590,584,553,552,0,0,0,0
8,0,545,317,757,735,735,1,8,8,8
8,500,520,499,498,496,497,0,0,0,0
9,0,485,270,668,662,662,1,8,8,8
9,500,450,461,463,464,463,0,0,0,0
