patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.007,0.006,0.008,0.006,0.005,0.001,0.001,0.001,0.001
0,500,0.005,0.006,0.006,0.006,0.006,0,0,0,0
1,0,1.773,0.126,0.14,0.145,0.146,0.001,0.001,0.001,0.001
1,500,0.122,0.107,0.105,0.103,0.109,0,0,0,0
2,0,0.123,0.123,0.168,0.166,0.167,0.001,0.001,0.001,0.001
2,500,0.124,0.112,0.112,0.113,0.112,0,0,0,0
3,0,0.122,0.12,0.17,0.171,0.171,0.001,0.001,0.001,0.001
3,500,0.122,0.112,0.112,0.112,0.112,0,0,0,0
4,0,0.121,0.12,0.166,0.163,0.161,0.001,0.001,0.001,0.001
4,500,0.121,0.113,0.112,0.112,0.112,0,0,0,0
5,0,0.122,0.112,0.155,0.154,0.153,0.001,0.001,0.001,0.001
5,500,0.121,0.11,0.108,0.107,0.107,0,0,0,0
6,0,0.121,0.112,0.159,0.16,0.16,0.001,0.001,0.001,0.001
6,500,0.117,0.111,0.11,0.112,0.11,0,0,0,0
7,0,0.118,0.107,0.154,0.154,0.155,0.001,0.001,0.001,0.001
7,500,0.117,0.11,0.109,0.109,0.109,0,0,0,0
8,0,0.116,0.11,0.158,0.158,0.157,0.001,0.001,0.001,0.001
8,500,0.116,0.111,0.111,0.11,0.11,0,0,0,0
9,0,0.115,0.106,0.155,0.156,0.154,0.001,0.001,0.001,0.001
9,500,0.115,0.111,0.11,0.11,0.11,0,0,0,0
