patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,138,123,124,121,125,0,0,0,0
0,1,500,138,162,159,158,161,0,0,0,0
0,2,0,140,119,105,104,104,0,0,0,0
0,2,500,124,141,139,140,140,0,0,0,0
0,3,0,123,105,104,104,105,0,0,0,0
0,3,500,123,141,140,140,140,0,0,0,0
1,3,0,240,101,100,99,100,0,0,0,0
1,3,500,228,135,133,134,133,0,0,0,0
0,4,0,117,101,101,100,100,0,0,0,0
0,4,500,117,135,134,133,136,0,0,0,0
2,4,0,218,96,95,95,95,0,0,0,0
2,4,500,218,129,128,128,128,0,0,0,0
0,5,0,113,97,96,95,95,0,0,0,0
0,5,500,112,128,128,130,122,0,0,0,0
2,5,0,210,92,91,91,92,0,0,0,0
2,5,500,211,123,122,122,123,0,0,0,0
0,6,0,107,94,91,91,92,0,0,0,0
0,6,500,107,123,122,124,111,0,0,0,0
3,6,0,189,70,68,69,68,0,0,0,0
3,6,500,186,93,91,92,91,0,0,0,0
0,7,0,103,69,68,68,68,0,0,0,0
0,7,500,107,92,92,92,92,0,0,0,0
3,7,0,185,69,68,70,69,0,0,0,0
3,7,500,179,92,92,91,92,0,0,0,0
0,8,0,109,75,69,68,69,0,0,0,0
0,8,500,109,92,91,92,92,0,0,0,0
4,8,0,186,70,69,69,69,0,0,0,0
4,8,500,186,92,92,92,92,0,0,0,0
0,9,0,108,69,69,68,68,0,0,0,0
0,9,500,112,91,92,92,92,0,0,0,0
4,9,0,185,68,69,68,68,0,0,0,0
4,9,500,189,92,92,92,92,0,0,0,0
