patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,113,103,99,96,96,0,0,0,0
0,1,500,119,146,140,149,135,0,0,0,0
0,2,0,119,101,99,99,98,0,0,0,0
0,2,500,120,139,142,140,140,0,0,0,0
0,3,0,112,103,100,99,100,0,0,0,0
0,3,500,117,135,135,138,128,0,0,0,0
1,3,0,206,88,85,85,84,0,0,0,0
1,3,500,207,132,133,132,131,0,0,0,0
0,4,0,107,95,93,93,93,0,0,0,0
0,4,500,109,127,124,126,119,0,0,0,0
2,4,0,194,90,89,89,88,0,0,0,0
2,4,500,198,121,120,117,118,0,0,0,0
0,5,0,105,87,84,84,84,0,0,0,0
0,5,500,98,128,125,126,128,0,0,0,0
2,5,0,192,83,81,81,80,0,0,0,0
2,5,500,185,118,117,116,116,0,0,0,0
0,6,0,98,86,85,86,85,0,0,0,0
0,6,500,93,122,121,120,120,0,0,0,0
3,6,0,189,79,76,76,76,0,0,0,0
3,6,500,179,114,113,112,112,0,0,0,0
0,7,0,96,82,81,81,81,0,0,0,0
0,7,500,97,113,109,109,109,0,0,0,0
3,7,0,175,79,77,78,58,0,0,0,0
3,7,500,168,82,80,80,80,0,0,0,0
0,8,0,101,63,62,61,61,0,0,0,0
0,8,500,101,91,90,90,90,0,0,0,0
4,8,0,169,63,62,61,62,0,0,0,0
4,8,500,173,85,84,83,84,0,0,0,0
0,9,0,101,58,57,56,57,0,0,0,0
0,9,500,102,98,96,96,96,0,0,0,0
4,9,0,163,58,57,57,57,0,0,0,0
4,9,500,161,84,82,84,83,0,0,0,0
