patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,112,77,73,72,73,0,0,0,0
0,1,500,103,89,88,88,88,0,0,0,0
0,2,0,106,66,65,66,66,0,0,0,0
0,2,500,108,88,88,87,87,0,0,0,0
0,3,0,108,73,72,73,73,0,0,0,0
0,3,500,103,88,88,88,88,0,0,0,0
1,3,0,175,67,65,66,66,0,0,0,0
1,3,500,178,88,87,88,88,0,0,0,0
0,4,0,112,73,72,72,72,0,0,0,0
0,4,500,103,89,88,88,89,0,0,0,0
2,4,0,181,66,65,66,65,0,0,0,0
2,4,500,180,88,89,88,87,0,0,0,0
0,5,0,110,72,72,72,71,0,0,0,0
0,5,500,108,98,97,97,97,0,0,0,0
2,5,0,178,66,65,65,65,0,0,0,0
2,5,500,180,89,88,88,87,0,0,0,0
0,6,0,110,72,72,73,72,0,0,0,0
0,6,500,108,98,97,97,96,0,0,0,0
3,6,0,180,66,66,65,65,0,0,0,0
3,6,500,180,88,88,88,88,0,0,0,0
0,7,0,110,72,72,72,72,0,0,0,0
0,7,500,107,97,97,98,97,0,0,0,0
3,7,0,178,65,65,66,65,0,0,0,0
3,7,500,180,89,88,88,88,0,0,0,0
0,8,0,108,73,72,72,72,0,0,0,0
0,8,500,108,98,97,98,97,0,0,0,0
4,8,0,177,66,66,65,66,0,0,0,0
4,8,500,181,88,88,88,87,0,0,0,0
0,9,0,107,72,73,72,72,0,0,0,0
0,9,500,104,88,88,88,88,0,0,0,0
4,9,0,176,66,66,66,65,0,0,0,0
4,9,500,181,88,87,87,88,0,0,0,0
