patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,109,67,65,65,65,0,0,0,0
0,1,500,114,88,88,88,87,0,0,0,0
0,2,0,110,66,65,66,66,0,0,0,0
0,2,500,112,88,88,88,88,0,0,0,0
0,3,0,109,66,65,65,66,0,0,0,0
0,3,500,112,88,88,87,88,0,0,0,0
1,3,0,181,66,65,66,65,0,0,0,0
1,3,500,184,88,89,88,88,0,0,0,0
0,4,0,115,67,65,65,65,0,0,0,0
0,4,500,109,88,87,88,88,0,0,0,0
2,4,0,181,66,65,66,66,0,0,0,0
2,4,500,186,88,88,88,88,0,0,0,0
0,5,0,109,65,66,65,66,0,0,0,0
0,5,500,112,88,88,88,88,0,0,0,0
2,5,0,180,66,67,66,66,0,0,0,0
2,5,500,184,89,88,88,87,0,0,0,0
0,6,0,114,66,65,65,65,0,0,0,0
0,6,500,112,88,88,88,87,0,0,0,0
3,6,0,181,66,65,66,65,0,0,0,0
3,6,500,184,88,88,88,88,0,0,0,0
0,7,0,109,66,65,65,66,0,0,0,0
0,7,500,111,88,88,88,87,0,0,0,0
3,7,0,184,66,65,66,66,0,0,0,0
3,7,500,186,88,87,87,87,0,0,0,0
0,8,0,112,66,65,65,65,0,0,0,0
0,8,500,112,89,88,87,88,0,0,0,0
4,8,0,181,66,65,66,65,0,0,0,0
4,8,500,183,88,88,87,88,0,0,0,0
0,9,0,109,66,66,66,65,0,0,0,0
0,9,500,111,89,88,88,87,0,0,0,0
4,9,0,179,66,65,66,66,0,0,0,0
4,9,500,184,88,88,88,89,0,0,0,0
