patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,122,92,91,90,90,0,0,0,0
0,1,500,130,108,106,105,105,0,0,0,0
0,2,0,131,93,91,91,91,0,0,0,0
0,2,500,131,108,109,107,107,0,0,0,0
0,3,0,126,93,91,91,91,0,0,0,0
0,3,500,127,106,104,104,104,0,0,0,0
1,3,0,227,93,90,90,90,0,0,0,0
1,3,500,229,106,103,104,104,0,0,0,0
0,4,0,124,91,90,89,89,0,0,0,0
0,4,500,129,106,104,104,103,0,0,0,0
2,4,0,220,91,89,91,90,0,0,0,0
2,4,500,226,108,106,106,106,0,0,0,0
0,5,0,128,87,84,83,83,0,0,0,0
0,5,500,125,106,105,104,104,0,0,0,0
2,5,0,220,92,90,91,92,0,0,0,0
2,5,500,221,104,98,98,97,0,0,0,0
0,6,0,128,92,84,84,84,0,0,0,0
0,6,500,127,106,104,104,105,0,0,0,0
3,6,0,224,90,90,90,90,0,0,0,0
3,6,500,221,107,105,105,105,0,0,0,0
0,7,0,130,91,90,89,90,0,0,0,0
0,7,500,128,108,105,105,105,0,0,0,0
3,7,0,231,92,90,89,90,0,0,0,0
3,7,500,226,108,106,106,106,0,0,0,0
0,8,0,130,90,89,90,90,0,0,0,0
0,8,500,126,104,104,104,103,0,0,0,0
4,8,0,222,93,92,93,93,0,0,0,0
4,8,500,217,106,101,99,99,0,0,0,0
0,9,0,126,93,91,91,91,0,0,0,0
0,9,500,127,105,104,104,103,0,0,0,0
4,9,0,227,92,89,89,89,0,0,0,0
4,9,500,225,106,105,105,104,0,0,0,0
