patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,100,85,83,83,84,0,0,0,0
0,1,500,97,106,107,102,99,0,0,0,0
0,2,0,94,80,79,79,79,0,0,0,0
0,2,500,91,101,99,99,99,0,0,0,0
0,3,0,92,80,79,79,79,0,0,0,0
0,3,500,92,100,99,99,99,0,0,0,0
1,3,0,179,79,81,78,77,0,0,0,0
1,3,500,166,95,94,94,94,0,0,0,0
0,4,0,88,76,75,75,75,0,0,0,0
0,4,500,88,94,94,94,93,0,0,0,0
2,4,0,168,75,75,74,75,0,0,0,0
2,4,500,169,95,95,95,90,0,0,0,0
0,5,0,84,72,71,71,71,0,0,0,0
0,5,500,81,90,90,90,89,0,0,0,0
2,5,0,161,73,71,71,71,0,0,0,0
2,5,500,159,90,89,89,90,0,0,0,0
0,6,0,83,72,71,71,71,0,0,0,0
0,6,500,83,85,85,85,85,0,0,0,0
3,6,0,152,69,67,68,69,0,0,0,0
3,6,500,152,85,85,85,85,0,0,0,0
0,7,0,80,68,68,69,68,0,0,0,0
0,7,500,80,86,85,86,85,0,0,0,0
3,7,0,153,68,69,69,64,0,0,0,0
3,7,500,146,82,81,81,81,0,0,0,0
0,8,0,76,65,66,65,65,0,0,0,0
0,8,500,75,81,81,82,81,0,0,0,0
4,8,0,145,66,64,64,65,0,0,0,0
4,8,500,145,82,81,81,81,0,0,0,0
0,9,0,76,69,62,62,62,0,0,0,0
0,9,500,72,78,77,77,78,0,0,0,0
4,9,0,139,63,62,62,62,0,0,0,0
4,9,500,138,78,78,77,78,0,0,0,0
