patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1472,16,6,6,6,1,1,1,1
0,500,7,10,14,11,7,0,0,0,0
1,0,13063,96,88,87,87,1,1,1,1
1,500,92,70,70,69,71,0,0,0,0
2,0,107,121,201,200,202,1,1,1,1
2,500,134,159,159,158,161,0,0,0,0
3,0,127,120,200,200,199,1,1,1,1
3,500,123,149,148,148,150,0,0,0,0
4,0,119,116,193,190,192,1,1,1,1
4,500,128,153,152,151,151,0,0,0,0
5,0,125,110,181,181,179,1,1,1,1
5,500,123,145,143,142,142,0,0,0,0
6,0,116,112,181,179,179,1,1,1,1
6,500,119,143,133,133,133,0,0,0,0
7,0,108,104,173,168,168,1,1,1,1
7,500,114,135,135,134,134,0,0,0,0
8,0,108,103,172,174,159,1,1,1,1
8,500,106,128,126,126,128,0,0,0,0
9,0,103,97,159,159,158,1,1,1,1
9,500,106,128,126,126,126,0,0,0,0
