patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1126,7,6,6,6,1,1,1,1
0,500,8,5,3,2,8,0,0,0,0
1,0,21357,145,117,117,140,1,1,1,1
1,500,162,192,188,189,187,0,0,0,0
2,0,160,184,267,263,264,1,1,1,1
2,500,166,175,164,164,164,0,0,0,0
3,0,143,162,234,232,232,1,1,1,1
3,500,144,166,165,165,167,0,0,0,0
4,0,132,153,221,222,217,1,1,1,1
4,500,135,157,155,157,155,0,0,0,0
5,0,133,151,219,219,206,1,1,1,1
5,500,129,148,147,148,147,0,0,0,0
6,0,126,144,206,208,205,1,1,1,1
6,500,129,148,146,148,139,0,0,0,0
7,0,120,137,195,197,194,1,1,1,1
7,500,122,140,139,140,139,0,0,0,0
8,0,117,135,195,198,188,1,1,1,1
8,500,116,134,132,132,133,0,0,0,0
9,0,111,128,185,185,186,1,1,1,1
9,500,116,133,132,132,132,0,0,0,0
