patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1736,22,20,8,8,1,1,1,1
0,500,9,14,17,15,16,0,0,0,0
1,0,10462,159,136,134,136,1,1,1,1
1,500,191,234,225,228,225,0,0,0,0
2,0,183,189,289,284,283,1,1,1,1
2,500,187,213,209,210,209,0,0,0,0
3,0,175,177,279,278,277,1,1,1,1
3,500,179,210,200,200,201,0,0,0,0
4,0,169,171,261,263,259,1,1,1,1
4,500,169,203,198,187,187,0,0,0,0
5,0,158,162,247,245,245,1,1,1,1
5,500,159,191,188,188,189,0,0,0,0
6,0,151,148,228,229,226,1,1,1,1
6,500,147,180,175,176,174,0,0,0,0
7,0,144,145,226,212,213,1,1,1,1
7,500,137,166,164,163,163,0,0,0,0
8,0,134,138,209,206,206,1,1,1,1
8,500,135,168,155,155,155,0,0,0,0
9,0,129,132,201,199,199,1,1,1,1
9,500,129,159,156,155,155,0,0,0,0
