patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,4,8,5,8,1,1,1,1
0,500,4,6,12,6,4,0,0,0,0
1,0,102,78,118,117,117,1,1,1,1
1,500,103,89,88,88,88,0,0,0,0
2,0,109,77,117,118,117,1,1,1,1
2,500,107,88,88,88,88,0,0,0,0
3,0,107,79,117,116,117,1,1,1,1
3,500,110,88,88,87,89,0,0,0,0
4,0,107,78,117,117,116,1,1,1,1
4,500,110,89,88,88,88,0,0,0,0
5,0,109,77,116,116,117,1,1,1,1
5,500,111,88,88,88,88,0,0,0,0
6,0,109,77,117,118,117,1,1,1,1
6,500,110,88,88,88,87,0,0,0,0
7,0,105,77,117,117,117,1,1,1,1
7,500,108,88,88,89,87,0,0,0,0
8,0,110,86,127,125,126,1,1,1,1
8,500,118,98,93,92,92,0,0,0,0
9,0,117,85,131,131,130,1,1,1,1
9,500,118,98,95,95,95,0,0,0,0
