patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,9,11,5,7,1,1,1,1
0,500,5,6,5,5,3,0,0,0,0
1,0,134,140,186,186,185,1,1,1,1
1,500,139,117,116,116,118,0,0,0,0
2,0,139,138,185,185,186,1,1,1,1
2,500,142,117,116,116,116,0,0,0,0
3,0,146,141,186,185,185,1,1,1,1
3,500,139,117,116,116,117,0,0,0,0
4,0,143,139,186,185,185,1,1,1,1
4,500,136,118,116,116,116,0,0,0,0
5,0,142,138,186,185,185,1,1,1,1
5,500,138,117,117,117,117,0,0,0,0
6,0,141,139,186,186,185,1,1,1,1
6,500,136,117,117,116,118,0,0,0,0
7,0,140,138,185,185,186,1,1,1,1
7,500,138,117,116,117,116,0,0,0,0
8,0,141,138,186,185,185,1,1,1,1
8,500,136,117,117,116,117,0,0,0,0
9,0,142,140,187,187,186,1,1,1,1
9,500,138,125,117,117,117,0,0,0,0
