patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,3,3,8,10,4,1,1,1,1
0,500,3,6,7,4,6,0,0,0,0
1,0,123,102,150,149,146,1,1,1,1
1,500,123,107,105,103,104,0,0,0,0
2,0,123,95,145,142,143,1,1,1,1
2,500,121,110,107,106,106,0,0,0,0
3,0,116,93,136,134,134,1,1,1,1
3,500,119,100,97,98,97,0,0,0,0
4,0,112,91,137,137,136,1,1,1,1
4,500,114,113,112,111,112,0,0,0,0
5,0,112,91,138,135,136,1,1,1,1
5,500,119,103,101,101,101,0,0,0,0
6,0,116,91,136,135,136,1,1,1,1
6,500,117,100,98,97,97,0,0,0,0
7,0,114,90,135,135,134,1,1,1,1
7,500,114,99,102,98,98,0,0,0,0
8,0,117,98,148,147,146,1,1,1,1
8,500,115,111,107,106,106,0,0,0,0
9,0,110,89,134,135,133,1,1,1,1
9,500,114,103,97,96,96,0,0,0,0
