patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,6,7,5,6,1,1,1,1
0,500,5,5,6,6,6,0,0,0,0
1,0,11258,189,240,237,239,1,1,1,1
1,500,159,180,178,179,179,0,0,0,0
2,0,161,143,228,231,211,1,1,1,1
2,500,137,158,157,159,157,0,0,0,0
3,0,140,131,210,212,210,1,1,1,1
3,500,135,158,159,153,146,0,0,0,0
4,0,129,122,196,197,195,1,1,1,1
4,500,126,146,147,146,146,0,0,0,0
5,0,130,123,196,192,182,1,1,1,1
5,500,119,137,136,138,137,0,0,0,0
6,0,121,114,183,183,182,1,1,1,1
6,500,117,137,137,136,140,0,0,0,0
7,0,116,107,171,171,172,1,1,1,1
7,500,112,128,128,128,128,0,0,0,0
8,0,113,110,171,171,170,1,1,1,1
8,500,110,131,120,120,120,0,0,0,0
9,0,106,101,161,162,161,1,1,1,1
9,500,103,120,120,120,121,0,0,0,0
