patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,339,57,560,558,558,1,26,26,26
0,1,500,347,569,566,567,567,0,0,0,0
0,2,0,348,57,572,571,570,1,34,34,34
0,2,500,322,528,525,525,526,0,0,0,0
0,3,0,327,48,504,503,501,1,26,26,26
0,3,500,324,510,509,508,508,0,0,0,0
1,3,0,616,51,495,495,494,1,18,18,18
1,3,500,608,504,505,505,506,0,0,0,0
0,4,0,327,56,523,522,520,1,28,28,28
0,4,500,327,531,531,529,528,0,0,0,0
2,4,0,614,51,499,495,494,1,19,19,19
2,4,500,611,502,503,502,501,0,0,0,0
0,5,0,330,49,532,531,530,1,22,22,22
0,5,500,326,537,539,538,538,0,0,0,0
2,5,0,615,52,500,498,497,1,23,23,23
2,5,500,612,508,506,505,504,0,0,0,0
0,6,0,350,50,566,566,565,1,22,22,22
0,6,500,322,520,519,519,519,0,0,0,0
3,6,0,609,67,494,493,492,1,20,20,20
3,6,500,610,507,506,505,505,0,0,0,0
0,7,0,352,58,561,559,559,1,26,26,26
0,7,500,324,515,514,513,514,0,0,0,0
3,7,0,614,35,498,493,493,1,21,21,21
3,7,500,611,502,500,500,501,0,0,0,0
0,8,0,359,55,511,510,513,1,24,24,24
0,8,500,357,521,519,518,519,0,0,0,0
4,8,0,705,39,549,547,547,1,13,13,13
4,8,500,643,507,504,503,501,0,0,0,0
0,9,0,333,46,510,507,506,1,24,24,24
0,9,500,331,514,513,514,513,0,0,0,0
4,9,0,674,37,543,540,546,1,14,14,14
4,9,500,618,507,505,503,503,0,0,0,0
