patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,330,35,456,455,455,1,26,26,26
0,1,500,331,464,463,463,461,0,0,0,0
0,2,0,306,92,461,460,460,1,26,26,26
0,2,500,304,469,468,466,465,0,0,0,0
0,3,0,330,41,456,457,456,1,16,16,16
0,3,500,330,465,463,462,462,0,0,0,0
1,3,0,625,29,458,452,451,1,22,22,22
1,3,500,625,459,458,458,461,0,0,0,0
0,4,0,305,48,474,471,478,1,24,24,24
0,4,500,304,482,481,478,479,0,0,0,0
2,4,0,577,65,455,455,454,1,13,13,13
2,4,500,578,463,461,458,457,0,0,0,0
0,5,0,303,70,467,466,466,1,18,18,18
0,5,500,301,474,472,472,472,0,0,0,0
2,5,0,572,62,452,449,453,1,16,16,16
2,5,500,575,463,462,460,475,0,0,0,0
0,6,0,304,69,462,460,461,1,20,20,20
0,6,500,303,469,467,467,473,0,0,0,0
3,6,0,602,64,454,452,449,1,11,11,11
3,6,500,601,458,456,457,456,0,0,0,0
0,7,0,306,51,490,488,503,1,20,20,20
0,7,500,303,497,497,498,497,0,0,0,0
3,7,0,603,64,460,451,452,1,14,14,14
3,7,500,605,461,461,460,459,0,0,0,0
0,8,0,305,34,471,474,466,1,20,20,20
0,8,500,303,474,476,473,474,0,0,0,0
4,8,0,574,112,450,449,455,1,12,12,12
4,8,500,573,457,456,461,461,0,0,0,0
0,9,0,344,58,466,464,465,1,24,24,24
0,9,500,344,474,472,470,470,0,0,0,0
4,9,0,616,116,452,452,452,1,14,14,14
4,9,500,618,458,455,456,455,0,0,0,0
