patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,262,65,394,396,394,1,16,16,16
0,1,500,264,402,403,402,402,0,0,0,0
0,2,0,265,76,410,409,409,1,20,20,20
0,2,500,268,416,416,415,416,0,0,0,0
0,3,0,276,75,408,406,407,1,16,16,16
0,3,500,277,415,413,413,413,0,0,0,0
1,3,0,532,48,402,400,399,1,19,19,19
1,3,500,510,409,405,405,404,0,0,0,0
0,4,0,268,53,416,415,414,1,20,20,20
0,4,500,266,423,422,421,422,0,0,0,0
2,4,0,498,46,398,396,397,1,16,16,16
2,4,500,502,410,408,406,406,0,0,0,0
0,5,0,267,58,418,419,417,1,16,16,16
0,5,500,266,425,425,423,423,0,0,0,0
2,5,0,502,39,401,400,400,1,21,21,21
2,5,500,501,408,406,405,405,0,0,0,0
0,6,0,266,42,406,405,417,1,16,16,16
0,6,500,265,413,412,412,412,0,0,0,0
3,6,0,509,29,397,396,398,1,12,12,12
3,6,500,512,408,407,405,406,0,0,0,0
0,7,0,278,52,414,411,411,1,20,20,20
0,7,500,277,419,417,418,416,0,0,0,0
3,7,0,524,30,400,397,398,1,13,13,13
3,7,500,520,405,403,404,403,0,0,0,0
0,8,0,278,74,410,410,409,1,20,20,20
0,8,500,277,415,416,415,415,0,0,0,0
4,8,0,510,29,396,400,398,1,10,10,10
4,8,500,513,409,405,405,405,0,0,0,0
0,9,0,276,76,411,409,409,1,18,18,18
0,9,500,277,417,416,415,417,0,0,0,0
4,9,0,514,30,401,398,395,1,12,12,12
4,9,500,510,404,404,402,402,0,0,0,0
