patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,271,53,405,404,403,1,22,22,22
0,1,500,275,413,411,411,411,0,0,0,0
0,2,0,321,35,409,408,408,1,10,10,10
0,2,500,324,416,414,414,414,0,0,0,0
0,3,0,274,39,409,407,408,1,16,16,16
0,3,500,273,415,413,414,413,0,0,0,0
1,3,0,519,65,408,405,405,1,12,12,12
1,3,500,516,410,408,409,409,0,0,0,0
0,4,0,273,57,406,406,404,1,18,18,18
0,4,500,273,413,412,411,412,0,0,0,0
2,4,0,564,47,401,401,407,1,6,6,6
2,4,500,566,414,414,412,413,0,0,0,0
0,5,0,310,43,413,413,412,1,16,16,16
0,5,500,309,420,419,419,418,0,0,0,0
2,5,0,601,48,407,405,402,1,9,9,9
2,5,500,597,409,408,409,408,0,0,0,0
0,6,0,275,47,411,411,410,1,16,16,16
0,6,500,274,417,418,417,417,0,0,0,0
3,6,0,515,47,403,405,406,1,9,9,9
3,6,500,518,413,412,412,413,0,0,0,0
0,7,0,274,53,425,422,423,1,12,12,12
0,7,500,274,430,429,428,429,0,0,0,0
3,7,0,518,48,406,405,402,1,13,13,13
3,7,500,516,410,407,408,408,0,0,0,0
0,8,0,273,43,411,408,409,1,16,16,16
0,8,500,273,417,416,416,415,0,0,0,0
4,8,0,515,54,400,402,406,1,12,12,12
4,8,500,518,413,412,412,410,0,0,0,0
0,9,0,275,48,415,414,414,1,18,18,18
0,9,500,275,421,420,419,420,0,0,0,0
4,9,0,517,56,405,403,399,1,15,15,15
4,9,500,515,408,407,407,407,0,0,0,0
