patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,3,6,12,4,1,16,16,16
0,500,3,5,3,3,5,0,0,0,0
1,0,333,91,570,555,554,1,16,16,16
1,500,290,264,264,262,263,0,0,0,0
2,0,294,62,560,560,561,1,13,13,13
2,500,291,265,264,264,264,0,0,0,0
3,0,298,311,542,541,540,1,12,12,12
3,500,299,270,269,269,268,0,0,0,0
4,0,293,316,539,539,539,1,10,10,10
4,500,298,269,268,268,268,0,0,0,0
5,0,292,347,536,535,532,1,10,10,10
5,500,295,265,264,270,264,0,0,0,0
6,0,276,290,479,478,479,1,11,11,11
6,500,273,238,239,238,238,0,0,0,0
7,0,315,331,503,497,502,1,10,10,10
7,500,288,256,257,256,256,0,0,0,0
8,0,279,270,478,478,478,1,12,12,12
8,500,271,245,238,238,238,0,0,0,0
9,0,276,321,479,477,478,1,10,10,10
9,500,266,239,238,238,238,0,0,0,0
