patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,5,4,4,5,1,12,12,12
0,500,3,9,7,8,4,0,0,0,0
1,0,380,130,473,459,459,1,12,12,12
1,500,293,259,260,258,258,0,0,0,0
2,0,296,261,455,454,455,1,10,10,10
2,500,295,261,259,259,260,0,0,0,0
3,0,297,272,456,455,456,1,10,10,10
3,500,297,261,260,260,261,0,0,0,0
4,0,296,245,456,455,455,1,10,10,10
4,500,297,263,259,260,261,0,0,0,0
5,0,316,265,475,476,474,1,8,8,8
5,500,318,281,280,281,280,0,0,0,0
6,0,314,285,471,473,472,1,9,9,9
6,500,314,277,277,276,276,0,0,0,0
7,0,298,277,456,455,456,1,10,10,10
7,500,298,260,261,260,260,0,0,0,0
8,0,297,263,455,454,453,1,8,8,8
8,500,296,261,259,259,260,0,0,0,0
9,0,296,263,454,452,453,1,5,5,5
9,500,295,260,259,259,260,0,0,0,0
