patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,3,9,6,6,1,28,28,28
0,500,3,4,4,6,6,0,0,0,0
1,0,413,127,828,794,793,1,28,28,28
1,500,350,313,313,312,312,0,0,0,0
2,0,350,164,784,783,783,1,19,19,19
2,500,353,314,314,314,313,0,0,0,0
3,0,354,373,782,780,779,1,15,15,15
3,500,357,319,318,319,318,0,0,0,0
4,0,352,493,775,774,781,1,16,16,16
4,500,353,316,314,315,314,0,0,0,0
5,0,376,537,802,801,800,1,12,12,12
5,500,377,342,342,341,341,0,0,0,0
6,0,355,494,779,779,779,1,18,18,18
6,500,356,318,318,318,317,0,0,0,0
7,0,364,531,787,786,786,1,14,14,14
7,500,365,329,329,328,329,0,0,0,0
8,0,353,494,777,777,776,1,16,16,16
8,500,354,318,318,318,318,0,0,0,0
9,0,368,522,786,785,785,1,15,15,15
9,500,365,328,328,327,328,0,0,0,0
