patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,3,3,3,3,1,11,11,11
0,500,2,3,3,2,3,0,0,0,0
1,0,892,770,1142,1058,1056,1,11,11,11
1,500,579,568,565,565,547,0,0,0,0
2,0,635,638,1017,961,960,1,5,5,5
2,500,579,562,559,560,550,0,0,0,0
3,0,441,419,767,761,728,1,8,8,8
3,500,416,420,418,411,397,0,0,0,0
4,0,398,436,689,672,656,1,9,9,9
4,500,377,379,377,375,360,0,0,0,0
5,0,414,397,679,669,648,1,8,8,8
5,500,393,396,392,393,376,0,0,0,0
6,0,332,377,578,575,445,1,8,8,8
6,500,278,250,249,249,249,0,0,0,0
7,0,279,250,432,429,431,1,6,6,6
7,500,277,250,247,248,248,0,0,0,0
8,0,276,235,431,429,429,1,8,8,8
8,500,275,249,248,248,247,0,0,0,0
9,0,278,279,432,431,432,1,9,9,9
9,500,276,248,248,247,247,0,0,0,0
