patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,4,2,5,5,5,1,11,11,11
0,500,3,5,5,5,3,0,0,0,0
1,0,362,131,439,438,437,1,11,11,11
1,500,289,256,256,255,255,0,0,0,0
2,0,281,115,423,423,422,1,7,7,7
2,500,307,275,274,275,274,0,0,0,0
3,0,307,270,467,466,467,1,8,8,8
3,500,306,276,277,275,275,0,0,0,0
4,0,307,290,467,464,466,1,9,9,9
4,500,305,278,276,276,276,0,0,0,0
5,0,307,293,469,467,467,1,10,10,10
5,500,306,278,275,276,276,0,0,0,0
6,0,312,310,473,472,471,1,9,9,9
6,500,314,284,284,283,283,0,0,0,0
7,0,308,269,468,466,473,1,7,7,7
7,500,307,278,277,277,278,0,0,0,0
8,0,304,294,466,465,465,1,7,7,7
8,500,304,278,276,276,277,0,0,0,0
9,0,306,299,466,467,465,1,9,9,9
9,500,307,276,276,277,276,0,0,0,0
