patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,74,37,36,36,36,0,0,0,0
0,1,500,74,50,50,49,50,0,0,0,0
0,2,0,74,37,36,36,36,0,0,0,0
0,2,500,74,50,50,50,51,0,0,0,0
0,3,0,74,36,37,36,36,0,0,0,0
0,3,500,74,50,50,50,50,0,0,0,0
1,3,0,112,37,36,36,36,0,0,0,0
1,3,500,114,50,50,50,50,0,0,0,0
0,4,0,74,37,36,36,36,0,0,0,0
0,4,500,74,50,50,50,50,0,0,0,0
2,4,0,115,36,36,36,36,0,0,0,0
2,4,500,114,50,49,49,49,0,0,0,0
0,5,0,74,37,36,37,37,0,0,0,0
0,5,500,74,50,50,50,50,0,0,0,0
2,5,0,112,37,36,36,36,0,0,0,0
2,5,500,114,50,49,50,49,0,0,0,0
0,6,0,75,36,36,36,36,0,0,0,0
0,6,500,74,50,50,50,49,0,0,0,0
3,6,0,114,37,36,36,37,0,0,0,0
3,6,500,113,50,50,50,50,0,0,0,0
0,7,0,74,37,36,36,37,0,0,0,0
0,7,500,74,51,50,51,50,0,0,0,0
3,7,0,114,37,36,37,36,0,0,0,0
3,7,500,114,51,50,50,50,0,0,0,0
0,8,0,70,37,36,37,36,0,0,0,0
0,8,500,74,50,50,50,50,0,0,0,0
4,8,0,114,37,37,36,37,0,0,0,0
4,8,500,113,50,51,50,50,0,0,0,0
0,9,0,74,37,36,36,36,0,0,0,0
0,9,500,70,50,50,50,49,0,0,0,0
4,9,0,114,36,37,36,36,0,0,0,0
4,9,500,113,51,50,50,50,0,0,0,0
