patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,78,42,40,41,40,0,0,0,0
0,1,500,79,52,51,51,50,0,0,0,0
0,2,0,80,45,44,44,45,0,0,0,0
0,2,500,78,52,51,51,51,0,0,0,0
0,3,0,82,41,40,41,40,0,0,0,0
0,3,500,82,52,51,51,51,0,0,0,0
1,3,0,124,41,40,40,40,0,0,0,0
1,3,500,123,52,51,52,51,0,0,0,0
0,4,0,80,41,41,40,40,0,0,0,0
0,4,500,77,54,51,51,51,0,0,0,0
2,4,0,123,41,41,41,40,0,0,0,0
2,4,500,123,51,51,51,50,0,0,0,0
0,5,0,80,41,40,40,40,0,0,0,0
0,5,500,77,56,51,51,51,0,0,0,0
2,5,0,123,40,40,40,40,0,0,0,0
2,5,500,123,51,51,50,52,0,0,0,0
0,6,0,78,40,40,40,40,0,0,0,0
0,6,500,77,54,51,51,51,0,0,0,0
3,6,0,121,40,40,40,43,0,0,0,0
3,6,500,121,52,51,51,51,0,0,0,0
0,7,0,80,41,40,40,40,0,0,0,0
0,7,500,78,54,51,52,51,0,0,0,0
3,7,0,124,41,41,40,40,0,0,0,0
3,7,500,124,52,51,51,51,0,0,0,0
0,8,0,79,41,40,40,40,0,0,0,0
0,8,500,79,52,51,51,51,0,0,0,0
4,8,0,122,40,40,40,40,0,0,0,0
4,8,500,119,51,51,51,51,0,0,0,0
0,9,0,80,40,40,40,40,0,0,0,0
0,9,500,79,51,51,51,51,0,0,0,0
4,9,0,124,40,40,40,40,0,0,0,0
4,9,500,122,52,51,51,51,0,0,0,0
