patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,62,37,31,31,31,0,0,0,0
0,1,500,55,52,39,39,38,0,0,0,0
0,2,0,63,37,31,31,31,0,0,0,0
0,2,500,61,48,38,38,38,0,0,0,0
0,3,0,64,37,31,31,31,0,0,0,0
0,3,500,61,47,39,38,38,0,0,0,0
1,3,0,101,31,31,31,31,0,0,0,0
1,3,500,103,39,39,38,38,0,0,0,0
0,4,0,64,37,31,31,31,0,0,0,0
0,4,500,63,45,38,39,38,0,0,0,0
2,4,0,103,32,31,31,31,0,0,0,0
2,4,500,103,39,38,39,38,0,0,0,0
0,5,0,64,37,31,31,31,0,0,0,0
0,5,500,66,45,38,39,38,0,0,0,0
2,5,0,106,31,31,31,31,0,0,0,0
2,5,500,104,39,38,38,38,0,0,0,0
0,6,0,60,42,31,31,31,0,0,0,0
0,6,500,61,47,39,39,38,0,0,0,0
3,6,0,103,31,31,31,31,0,0,0,0
3,6,500,101,39,38,39,38,0,0,0,0
0,7,0,61,40,31,31,31,0,0,0,0
0,7,500,62,45,38,38,38,0,0,0,0
3,7,0,103,31,31,31,31,0,0,0,0
3,7,500,103,39,38,39,38,0,0,0,0
0,8,0,61,40,31,31,31,0,0,0,0
0,8,500,61,47,38,39,38,0,0,0,0
4,8,0,103,31,31,31,31,0,0,0,0
4,8,500,103,38,38,39,39,0,0,0,0
0,9,0,61,40,31,31,31,0,0,0,0
0,9,500,63,44,38,39,38,0,0,0,0
4,9,0,103,32,31,31,31,0,0,0,0
4,9,500,103,40,39,39,39,0,0,0,0
