patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,13,3,5,2,3,1,1,1,1
0,500,7,7,2,5,8,0,0,0,0
1,0,255,78,109,108,109,1,1,1,1
1,500,96,71,71,71,70,0,0,0,0
2,0,91,71,98,98,98,1,1,1,1
2,500,88,64,64,65,64,0,0,0,0
3,0,92,71,98,98,98,1,1,1,1
3,500,96,64,65,64,64,0,0,0,0
4,0,100,70,99,98,98,1,1,1,1
4,500,93,64,65,64,64,0,0,0,0
5,0,97,74,103,102,101,1,1,1,1
5,500,96,71,69,70,69,0,0,0,0
6,0,93,77,108,106,106,1,1,1,1
6,500,100,68,67,66,67,0,0,0,0
7,0,98,73,103,102,103,1,1,1,1
7,500,91,66,65,64,65,0,0,0,0
8,0,102,75,106,106,107,1,1,1,1
8,500,93,69,68,68,67,0,0,0,0
9,0,97,75,105,105,105,1,1,1,1
9,500,97,68,67,68,68,0,0,0,0
