patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,3,5,3,3,1,1,1,1
0,500,5,3,3,5,3,0,0,0,0
1,0,116,71,95,95,96,1,1,1,1
1,500,76,58,58,58,58,0,0,0,0
2,0,75,71,95,95,95,1,1,1,1
2,500,79,52,53,53,52,0,0,0,0
3,0,79,64,86,86,86,1,1,1,1
3,500,77,53,60,52,52,0,0,0,0
4,0,79,64,86,86,86,1,1,1,1
4,500,83,53,53,53,60,0,0,0,0
5,0,83,64,86,86,86,1,1,1,1
5,500,84,53,53,53,53,0,0,0,0
6,0,84,64,86,86,86,1,1,1,1
6,500,79,53,52,52,53,0,0,0,0
7,0,79,66,88,87,87,1,1,1,1
7,500,80,54,54,54,54,0,0,0,0
8,0,80,65,89,87,88,1,1,1,1
8,500,78,55,54,53,53,0,0,0,0
9,0,88,64,86,87,86,1,1,1,1
9,500,79,52,52,52,52,0,0,0,0
