patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,3,2,2,2,1,1,1,1
0,500,5,3,3,3,2,0,0,0,0
1,0,122,58,86,86,85,1,1,1,1
1,500,87,60,59,60,60,0,0,0,0
2,0,88,57,86,85,85,1,1,1,1
2,500,87,60,59,60,60,0,0,0,0
3,0,86,60,86,86,86,1,1,1,1
3,500,87,59,59,59,59,0,0,0,0
4,0,89,61,87,86,86,1,1,1,1
4,500,88,61,60,60,60,0,0,0,0
5,0,87,58,87,86,86,1,1,1,1
5,500,88,61,60,60,60,0,0,0,0
6,0,88,58,87,88,87,1,1,1,1
6,500,88,61,61,60,60,0,0,0,0
7,0,86,59,87,87,87,1,1,1,1
7,500,86,61,60,60,60,0,0,0,0
8,0,88,58,87,87,88,1,1,1,1
8,500,87,61,60,60,61,0,0,0,0
9,0,87,58,87,87,87,1,1,1,1
9,500,86,61,60,60,61,0,0,0,0
