patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.007,0.003,0.004,0.004,0.004,0.001,0.001,0.001,0.001
0,500,0.005,0.004,0.003,0.005,0.004,0,0,0,0
1,0,0.135,0.046,0.068,0.068,0.068,0.001,0.001,0.001,0.001
1,500,0.07,0.052,0.052,0.052,0.052,0,0,0,0
2,0,0.069,0.052,0.069,0.069,0.068,0.001,0.001,0.001,0.001
2,500,0.067,0.052,0.051,0.051,0.051,0,0,0,0
3,0,0.069,0.051,0.068,0.068,0.068,0.001,0.001,0.001,0.001
3,500,0.065,0.054,0.051,0.051,0.052,0,0,0,0
4,0,0.07,0.051,0.068,0.067,0.067,0.001,0.001,0.001,0.001
4,500,0.07,0.053,0.051,0.051,0.051,0,0,0,0
5,0,0.071,0.051,0.068,0.067,0.066,0.001,0.001,0.001,0.001
5,500,0.069,0.052,0.051,0.052,0.051,0,0,0,0
6,0,0.069,0.051,0.067,0.067,0.067,0.001,0.001,0.001,0.001
6,500,0.067,0.052,0.052,0.052,0.051,0,0,0,0
7,0,0.071,0.051,0.067,0.067,0.067,0.001,0.001,0.001,0.001
7,500,0.07,0.055,0.052,0.051,0.052,0,0,0,0
8,0,0.07,0.052,0.067,0.067,0.067,0.001,0.001,0.001,0.001
8,500,0.07,0.052,0.052,0.051,0.052,0,0,0,0
9,0,0.069,0.051,0.067,0.067,0.067,0.001,0.001,0.001,0.001
9,500,0.07,0.052,0.052,0.052,0.052,0,0,0,0
