patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,102,65,63,63,62,0,0,0,0
0,1,500,104,77,76,76,76,0,0,0,0
0,2,0,104,63,63,63,63,0,0,0,0
0,2,500,104,78,76,76,76,0,0,0,0
0,3,0,104,63,64,62,63,0,0,0,0
0,3,500,104,77,77,77,77,0,0,0,0
1,3,0,171,64,62,63,62,0,0,0,0
1,3,500,171,77,76,76,75,0,0,0,0
0,4,0,104,63,62,62,62,0,0,0,0
0,4,500,104,76,76,76,75,0,0,0,0
2,4,0,171,64,63,63,62,0,0,0,0
2,4,500,167,76,75,76,76,0,0,0,0
0,5,0,104,63,62,62,62,0,0,0,0
0,5,500,101,76,76,75,76,0,0,0,0
2,5,0,171,63,62,62,62,0,0,0,0
2,5,500,170,76,75,75,76,0,0,0,0
0,6,0,102,63,62,62,62,0,0,0,0
0,6,500,103,76,76,76,76,0,0,0,0
3,6,0,171,63,62,62,62,0,0,0,0
3,6,500,171,76,76,76,75,0,0,0,0
0,7,0,102,63,63,63,62,0,0,0,0
0,7,500,104,77,76,76,77,0,0,0,0
3,7,0,170,63,62,62,62,0,0,0,0
3,7,500,170,76,76,75,75,0,0,0,0
0,8,0,105,63,62,62,62,0,0,0,0
0,8,500,101,76,76,76,76,0,0,0,0
4,8,0,170,63,62,63,62,0,0,0,0
4,8,500,169,76,76,75,75,0,0,0,0
0,9,0,104,63,62,62,62,0,0,0,0
0,9,500,104,76,76,76,75,0,0,0,0
4,9,0,170,63,63,62,62,0,0,0,0
4,9,500,170,76,75,76,75,0,0,0,0
