patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,86,49,49,49,49,0,0,0,0
0,1,500,84,64,64,64,64,0,0,0,0
0,2,0,87,49,49,49,49,0,0,0,0
0,2,500,86,65,65,64,64,0,0,0,0
0,3,0,88,49,49,49,49,0,0,0,0
0,3,500,88,65,64,64,65,0,0,0,0
1,3,0,141,49,49,49,49,0,0,0,0
1,3,500,141,64,64,64,64,0,0,0,0
0,4,0,88,49,49,49,49,0,0,0,0
0,4,500,87,64,64,64,64,0,0,0,0
2,4,0,137,49,50,49,49,0,0,0,0
2,4,500,141,64,64,64,64,0,0,0,0
0,5,0,87,49,49,49,49,0,0,0,0
0,5,500,84,65,64,64,64,0,0,0,0
2,5,0,141,49,49,49,49,0,0,0,0
2,5,500,138,65,64,64,64,0,0,0,0
0,6,0,88,49,49,49,49,0,0,0,0
0,6,500,87,64,64,64,64,0,0,0,0
3,6,0,141,49,49,49,49,0,0,0,0
3,6,500,141,64,64,64,64,0,0,0,0
0,7,0,87,49,49,49,49,0,0,0,0
0,7,500,88,64,64,64,64,0,0,0,0
3,7,0,142,49,49,49,49,0,0,0,0
3,7,500,141,64,64,64,64,0,0,0,0
0,8,0,87,49,49,49,49,0,0,0,0
0,8,500,88,64,64,65,64,0,0,0,0
4,8,0,140,49,49,49,50,0,0,0,0
4,8,500,140,65,64,64,64,0,0,0,0
0,9,0,87,49,49,49,49,0,0,0,0
0,9,500,85,65,64,64,64,0,0,0,0
4,9,0,141,49,49,49,49,0,0,0,0
4,9,500,141,65,64,64,64,0,0,0,0
